Finished epoch:145 | Loss : 0.1458 | Learning Rate: 0.00375 | Eval loss: 0.15336553752422333
Finished epoch:146 | Loss : 0.1587 | Learning Rate: 0.00375 | Eval loss: 0.15798218548297882
Finished epoch:147 | Loss : 0.1477 | Learning Rate: 0.00375 | Eval loss: 0.15402716398239136
Finished epoch:148 | Loss : 0.1455 | Learning Rate: 0.00375 | Eval loss: 0.15196484327316284
Finished epoch:149 | Loss : 0.1447 | Learning Rate: 0.00375 | Eval loss: 0.151630237698555
Finished epoch:150 | Loss : 0.1442 | Learning Rate: 0.00375 | Eval loss: 0.1529136449098587
Finished epoch:151 | Loss : 0.1442 | Learning Rate: 0.00375 | Eval loss: 0.15353567898273468
Finished epoch:152 | Loss : 0.1446 | Learning Rate: 0.00375 | Eval loss: 0.1529550552368164
Finished epoch:153 | Loss : 0.1442 | Learning Rate: 0.00375 | Eval loss: 0.15241041779518127
Finished epoch:154 | Loss : 0.1439 | Learning Rate: 0.00375 | Eval loss: 0.1525401920080185
Finished epoch:155 | Loss : 0.1441 | Learning Rate: 0.00375 | Eval loss: 0.1521896868944168
Finished epoch:156 | Loss : 0.1437 | Learning Rate: 0.00375 | Eval loss: 0.15116363763809204
Finished epoch:157 | Loss : 0.1437 | Learning Rate: 0.00375 | Eval loss: 0.15213987231254578
Finished epoch:158 | Loss : 0.1439 | Learning Rate: 0.00375 | Eval loss: 0.1519550234079361
Finished epoch:159 | Loss : 0.1440 | Learning Rate: 0.00375 | Eval loss: 0.1525115668773651
Finished epoch:160 | Loss : 0.1434 | Learning Rate: 0.001875 | Eval loss: 0.15126004815101624
Finished epoch:161 | Loss : 0.1465 | Learning Rate: 0.001875 | Eval loss: 0.1530706286430359
Finished epoch:162 | Loss : 0.1440 | Learning Rate: 0.001875 | Eval loss: 0.15241698920726776
Finished epoch:163 | Loss : 0.1433 | Learning Rate: 0.001875 | Eval loss: 0.15164974331855774
Finished epoch:164 | Loss : 0.1430 | Learning Rate: 0.001875 | Eval loss: 0.15113085508346558
Finished epoch:165 | Loss : 0.1437 | Learning Rate: 0.001875 | Eval loss: 0.15079830586910248
Finished epoch:166 | Loss : 0.1432 | Learning Rate: 0.001875 | Eval loss: 0.15166279673576355
Finished epoch:167 | Loss : 0.1430 | Learning Rate: 0.001875 | Eval loss: 0.15175214409828186
Finished epoch:168 | Loss : 0.1431 | Learning Rate: 0.001875 | Eval loss: 0.15182466804981232
Finished epoch:169 | Loss : 0.1429 | Learning Rate: 0.001875 | Eval loss: 0.15132394433021545
Finished epoch:170 | Loss : 0.1431 | Learning Rate: 0.001875 | Eval loss: 0.15106220543384552
Finished epoch:171 | Loss : 0.1431 | Learning Rate: 0.001875 | Eval loss: 0.15142059326171875
Finished epoch:172 | Loss : 0.1431 | Learning Rate: 0.001875 | Eval loss: 0.1517098993062973
Finished epoch:173 | Loss : 0.1430 | Learning Rate: 0.001875 | Eval loss: 0.15183137357234955
Finished epoch:174 | Loss : 0.1427 | Learning Rate: 0.001875 | Eval loss: 0.150319904088974
Finished epoch:175 | Loss : 0.1426 | Learning Rate: 0.001875 | Eval loss: 0.1521461457014084
Finished epoch:176 | Loss : 0.1428 | Learning Rate: 0.001875 | Eval loss: 0.15168048441410065
Finished epoch:177 | Loss : 0.1425 | Learning Rate: 0.001875 | Eval loss: 0.1507440209388733
Finished epoch:178 | Loss : 0.1429 | Learning Rate: 0.001875 | Eval loss: 0.1507009118795395
Finished epoch:179 | Loss : 0.1425 | Learning Rate: 0.001875 | Eval loss: 0.15210244059562683
Finished epoch:180 | Loss : 0.1425 | Learning Rate: 0.001875 | Eval loss: 0.15202213823795319
Finished epoch:181 | Loss : 0.1425 | Learning Rate: 0.001875 | Eval loss: 0.15219157934188843
Finished epoch:182 | Loss : 0.1426 | Learning Rate: 0.001875 | Eval loss: 0.1511555314064026
Finished epoch:183 | Loss : 0.1426 | Learning Rate: 0.0009375 | Eval loss: 0.15160971879959106
Finished epoch:184 | Loss : 0.1433 | Learning Rate: 0.0009375 | Eval loss: 0.15196949243545532
Finished epoch:185 | Loss : 0.1427 | Learning Rate: 0.0009375 | Eval loss: 0.14979615807533264
Finished epoch:186 | Loss : 0.1422 | Learning Rate: 0.0009375 | Eval loss: 0.15107914805412292
Finished epoch:187 | Loss : 0.1420 | Learning Rate: 0.0009375 | Eval loss: 0.15043418109416962
Finished epoch:188 | Loss : 0.1422 | Learning Rate: 0.0009375 | Eval loss: 0.15052738785743713
Finished epoch:189 | Loss : 0.1417 | Learning Rate: 0.0009375 | Eval loss: 0.15158170461654663
Finished epoch:190 | Loss : 0.1418 | Learning Rate: 0.0009375 | Eval loss: 0.15134218335151672
Finished epoch:191 | Loss : 0.1420 | Learning Rate: 0.0009375 | Eval loss: 0.15096813440322876
Finished epoch:192 | Loss : 0.1420 | Learning Rate: 0.0009375 | Eval loss: 0.15150487422943115
Finished epoch:193 | Loss : 0.1422 | Learning Rate: 0.0009375 | Eval loss: 0.15065550804138184
Finished epoch:194 | Loss : 0.1418 | Learning Rate: 0.0009375 | Eval loss: 0.15034973621368408
Finished epoch:195 | Loss : 0.1417 | Learning Rate: 0.0009375 | Eval loss: 0.15045520663261414
Finished epoch:196 | Loss : 0.1417 | Learning Rate: 0.0009375 | Eval loss: 0.15140792727470398
Finished epoch:197 | Loss : 0.1418 | Learning Rate: 0.0009375 | Eval loss: 0.14999918639659882
Finished epoch:198 | Loss : 0.1417 | Learning Rate: 0.0009375 | Eval loss: 0.15086320042610168
Finished epoch:199 | Loss : 0.1421 | Learning Rate: 0.0009375 | Eval loss: 0.15071798861026764
Finished epoch:200 | Loss : 0.1419 | Learning Rate: 0.0009375 | Eval loss: 0.15026560425758362
