Finished epoch:3 | Loss : 0.2650 | Learning Rate: 0.05 | Eval loss: 0.2590634524822235
Finished epoch:4 | Loss : 0.2580 | Learning Rate: 0.05 | Eval loss: 0.26890259981155396
Finished epoch:5 | Loss : 0.2330 | Learning Rate: 0.05 | Eval loss: 0.24305270612239838
Finished epoch:6 | Loss : 0.2320 | Learning Rate: 0.05 | Eval loss: 0.23573744297027588
Finished epoch:7 | Loss : 0.2186 | Learning Rate: 0.05 | Eval loss: 0.2866779565811157
Finished epoch:8 | Loss : 0.2348 | Learning Rate: 0.05 | Eval loss: 0.27416884899139404
Finished epoch:9 | Loss : 0.2322 | Learning Rate: 0.05 | Eval loss: 0.22443754971027374
Finished epoch:10 | Loss : 0.2205 | Learning Rate: 0.05 | Eval loss: 0.24690106511116028
Finished epoch:11 | Loss : 0.2080 | Learning Rate: 0.05 | Eval loss: 0.21365025639533997
Finished epoch:12 | Loss : 0.2002 | Learning Rate: 0.05 | Eval loss: 0.22253546118736267
Finished epoch:13 | Loss : 0.1953 | Learning Rate: 0.05 | Eval loss: 0.24312613904476166
Finished epoch:14 | Loss : 0.2020 | Learning Rate: 0.05 | Eval loss: 0.308407723903656
Finished epoch:15 | Loss : 0.1872 | Learning Rate: 0.05 | Eval loss: 0.2283647507429123
Finished epoch:16 | Loss : 0.1863 | Learning Rate: 0.05 | Eval loss: 0.19697386026382446
Finished epoch:17 | Loss : 0.1764 | Learning Rate: 0.05 | Eval loss: 0.17620541155338287
Finished epoch:18 | Loss : 0.1803 | Learning Rate: 0.05 | Eval loss: 0.1912476122379303
Finished epoch:19 | Loss : 0.1671 | Learning Rate: 0.05 | Eval loss: 0.20181924104690552
Finished epoch:20 | Loss : 0.1866 | Learning Rate: 0.05 | Eval loss: 0.23383669555187225
Finished epoch:21 | Loss : 0.1667 | Learning Rate: 0.05 | Eval loss: 0.1653137505054474
Finished epoch:22 | Loss : 0.1555 | Learning Rate: 0.05 | Eval loss: 0.15130357444286346
Finished epoch:23 | Loss : 0.1506 | Learning Rate: 0.05 | Eval loss: 0.19711032509803772
Finished epoch:24 | Loss : 0.1569 | Learning Rate: 0.05 | Eval loss: 0.16741912066936493
Finished epoch:25 | Loss : 0.1565 | Learning Rate: 0.05 | Eval loss: 0.16952575743198395
Finished epoch:26 | Loss : 0.1469 | Learning Rate: 0.05 | Eval loss: 0.14720024168491364
Finished epoch:27 | Loss : 0.1537 | Learning Rate: 0.05 | Eval loss: 0.1614665389060974
Finished epoch:28 | Loss : 0.1440 | Learning Rate: 0.05 | Eval loss: 0.1360519677400589
Finished epoch:29 | Loss : 0.1395 | Learning Rate: 0.05 | Eval loss: 0.14551326632499695
Finished epoch:30 | Loss : 0.1410 | Learning Rate: 0.05 | Eval loss: 0.14373639225959778
Finished epoch:31 | Loss : 0.1452 | Learning Rate: 0.05 | Eval loss: 0.15791937708854675
Finished epoch:32 | Loss : 0.1428 | Learning Rate: 0.025 | Eval loss: 0.14326979219913483
Finished epoch:33 | Loss : 0.2623 | Learning Rate: 0.025 | Eval loss: 0.18859830498695374
Finished epoch:34 | Loss : 0.1727 | Learning Rate: 0.025 | Eval loss: 0.16536284983158112
Finished epoch:35 | Loss : 0.1429 | Learning Rate: 0.025 | Eval loss: 0.1437135934829712
Finished epoch:36 | Loss : 0.1407 | Learning Rate: 0.025 | Eval loss: 0.13908666372299194
Finished epoch:37 | Loss : 0.1347 | Learning Rate: 0.025 | Eval loss: 0.13444748520851135
Finished epoch:38 | Loss : 0.1482 | Learning Rate: 0.025 | Eval loss: 0.14725276827812195
Finished epoch:39 | Loss : 0.1346 | Learning Rate: 0.025 | Eval loss: 0.13528700172901154
Finished epoch:40 | Loss : 0.1343 | Learning Rate: 0.025 | Eval loss: 0.131742462515831
Finished epoch:1 | Loss : 0.5945 | Learning Rate: 0.05 | Eval loss: 0.6504123210906982
Finished epoch:2 | Loss : 0.3852 | Learning Rate: 0.05 | Eval loss: 0.4100361466407776
Finished epoch:3 | Loss : 0.3026 | Learning Rate: 0.05 | Eval loss: 0.28633517026901245
