Finished epoch:146 | Loss : 0.1550 | Learning Rate: 0.003125 | Eval loss: 0.1677480936050415
Finished epoch:147 | Loss : 0.1548 | Learning Rate: 0.003125 | Eval loss: 0.16908785700798035
Finished epoch:148 | Loss : 0.1551 | Learning Rate: 0.003125 | Eval loss: 0.16798660159111023
Finished epoch:149 | Loss : 0.1546 | Learning Rate: 0.003125 | Eval loss: 0.16842009127140045
Finished epoch:150 | Loss : 0.1551 | Learning Rate: 0.003125 | Eval loss: 0.16681590676307678
Finished epoch:151 | Loss : 0.1549 | Learning Rate: 0.003125 | Eval loss: 0.1684640645980835
Finished epoch:152 | Loss : 0.1547 | Learning Rate: 0.003125 | Eval loss: 0.16756290197372437
Finished epoch:153 | Loss : 0.1546 | Learning Rate: 0.003125 | Eval loss: 0.16864392161369324
Finished epoch:154 | Loss : 0.1540 | Learning Rate: 0.003125 | Eval loss: 0.16782033443450928
Finished epoch:155 | Loss : 0.1540 | Learning Rate: 0.003125 | Eval loss: 0.16796058416366577
Finished epoch:156 | Loss : 0.1536 | Learning Rate: 0.003125 | Eval loss: 0.16788941621780396
Finished epoch:157 | Loss : 0.1540 | Learning Rate: 0.003125 | Eval loss: 0.16743896901607513
Finished epoch:158 | Loss : 0.1543 | Learning Rate: 0.003125 | Eval loss: 0.16707724332809448
Finished epoch:159 | Loss : 0.1540 | Learning Rate: 0.0015625 | Eval loss: 0.16737709939479828
Finished epoch:160 | Loss : 0.1556 | Learning Rate: 0.0015625 | Eval loss: 0.16699348390102386
Finished epoch:161 | Loss : 0.1544 | Learning Rate: 0.0015625 | Eval loss: 0.1660739779472351
Finished epoch:162 | Loss : 0.1543 | Learning Rate: 0.0015625 | Eval loss: 0.16606807708740234
Finished epoch:163 | Loss : 0.1534 | Learning Rate: 0.0015625 | Eval loss: 0.16730210185050964
Finished epoch:164 | Loss : 0.1536 | Learning Rate: 0.0015625 | Eval loss: 0.1674695461988449
Finished epoch:165 | Loss : 0.1535 | Learning Rate: 0.0015625 | Eval loss: 0.16697418689727783
Finished epoch:166 | Loss : 0.1534 | Learning Rate: 0.0015625 | Eval loss: 0.1676730513572693
Finished epoch:167 | Loss : 0.1537 | Learning Rate: 0.0015625 | Eval loss: 0.1672431230545044
Finished epoch:168 | Loss : 0.1535 | Learning Rate: 0.0015625 | Eval loss: 0.16795624792575836
Finished epoch:169 | Loss : 0.1537 | Learning Rate: 0.0015625 | Eval loss: 0.16682244837284088
Finished epoch:170 | Loss : 0.1535 | Learning Rate: 0.0015625 | Eval loss: 0.1678006947040558
Finished epoch:171 | Loss : 0.1535 | Learning Rate: 0.0015625 | Eval loss: 0.16636064648628235
Finished epoch:172 | Loss : 0.1534 | Learning Rate: 0.0015625 | Eval loss: 0.16644354164600372
Finished epoch:173 | Loss : 0.1532 | Learning Rate: 0.0015625 | Eval loss: 0.16692745685577393
Finished epoch:174 | Loss : 0.1530 | Learning Rate: 0.0015625 | Eval loss: 0.16852732002735138
Finished epoch:175 | Loss : 0.1531 | Learning Rate: 0.0015625 | Eval loss: 0.16589194536209106
Finished epoch:176 | Loss : 0.1535 | Learning Rate: 0.0015625 | Eval loss: 0.1680828034877777
Finished epoch:177 | Loss : 0.1532 | Learning Rate: 0.00078125 | Eval loss: 0.16644228994846344
Finished epoch:178 | Loss : 0.1540 | Learning Rate: 0.00078125 | Eval loss: 0.16682136058807373
Finished epoch:179 | Loss : 0.1528 | Learning Rate: 0.00078125 | Eval loss: 0.16597644984722137
Finished epoch:180 | Loss : 0.1532 | Learning Rate: 0.00078125 | Eval loss: 0.16668657958507538
Finished epoch:181 | Loss : 0.1528 | Learning Rate: 0.00078125 | Eval loss: 0.16691282391548157
Finished epoch:182 | Loss : 0.1532 | Learning Rate: 0.00078125 | Eval loss: 0.1660851240158081
Finished epoch:183 | Loss : 0.1534 | Learning Rate: 0.00078125 | Eval loss: 0.1659034937620163
Finished epoch:184 | Loss : 0.1530 | Learning Rate: 0.00078125 | Eval loss: 0.1670570969581604
Finished epoch:185 | Loss : 0.1531 | Learning Rate: 0.00078125 | Eval loss: 0.1675088256597519
Finished epoch:186 | Loss : 0.1523 | Learning Rate: 0.00078125 | Eval loss: 0.1672799438238144
Finished epoch:187 | Loss : 0.1525 | Learning Rate: 0.00078125 | Eval loss: 0.16633738577365875
Finished epoch:188 | Loss : 0.1525 | Learning Rate: 0.00078125 | Eval loss: 0.16582828760147095
Finished epoch:189 | Loss : 0.1531 | Learning Rate: 0.00078125 | Eval loss: 0.16693268716335297
Finished epoch:190 | Loss : 0.1534 | Learning Rate: 0.00078125 | Eval loss: 0.16687259078025818
Finished epoch:191 | Loss : 0.1526 | Learning Rate: 0.00078125 | Eval loss: 0.16608482599258423
Finished epoch:192 | Loss : 0.1527 | Learning Rate: 0.00078125 | Eval loss: 0.1659168154001236
Finished epoch:193 | Loss : 0.1529 | Learning Rate: 0.00078125 | Eval loss: 0.16621842980384827
Finished epoch:194 | Loss : 0.1530 | Learning Rate: 0.00078125 | Eval loss: 0.16594354808330536
Finished epoch:195 | Loss : 0.1524 | Learning Rate: 0.00078125 | Eval loss: 0.16647492349147797
Finished epoch:196 | Loss : 0.1529 | Learning Rate: 0.00078125 | Eval loss: 0.16562987864017487
Finished epoch:197 | Loss : 0.1524 | Learning Rate: 0.00078125 | Eval loss: 0.16623042523860931
Finished epoch:198 | Loss : 0.1530 | Learning Rate: 0.00078125 | Eval loss: 0.16627898812294006
Finished epoch:199 | Loss : 0.1528 | Learning Rate: 0.00078125 | Eval loss: 0.1664498895406723
Finished epoch:200 | Loss : 0.1531 | Learning Rate: 0.00078125 | Eval loss: 0.16567330062389374
